date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2020-01-02,2.58821101,2.61611625,2.5812347,2.60216363,205512470,766905878.0,0.0699,1.084
2020-01-03,2.60913994,2.60913994,2.58821101,2.59518732,111814276,416711492.0,0.038,-0.2681
2020-01-06,2.58821101,2.59518732,2.56030577,2.57425839,251080218,928482812.0,0.0854,-0.8065
2020-01-07,2.57425839,2.61611625,2.56728208,2.59518732,291294960,1084517480.0,0.0991,0.813
2020-01-08,2.58821101,2.59518732,2.56728208,2.57425839,168214884,621621269.0,0.0572,-0.8065
2020-01-09,2.5812347,2.58821101,2.56030577,2.56728208,129099347,476337098.0,0.0439,-0.271
2020-01-10,2.57425839,2.5812347,2.56030577,2.56728208,102724818,378111731.0,0.0349,0.0
2020-01-13,2.56728208,2.56728208,2.54635315,2.56728208,166226509,608708756.0,0.0565,0.0
2020-01-14,2.56728208,2.57425839,2.56030577,2.56728208,131418569,483396754.0,0.0447,0.0
2020-01-15,2.56030577,2.56728208,2.54635315,2.54635315,103306490,377725946.0,0.0351,-0.8152
2020-01-16,2.55332946,2.55332946,2.51844791,2.51844791,182015981,660037502.0,0.0619,-1.0959
2020-01-17,2.51844791,2.53937684,2.5114716,2.52542422,99263777,359412850.0,0.0338,0.277
2020-01-20,2.52542422,2.53240053,2.51844791,2.52542422,87250009,315896931.0,0.0297,0.0
2020-01-21,2.52542422,2.52542422,2.49054267,2.49751898,195067423,700428526.0,0.0663,-1.105
2020-01-22,2.49054267,2.49751898,2.46961374,2.49054267,178800980,637001446.0,0.0608,-0.2793
2020-01-23,2.48356636,2.48356636,2.44868481,2.45566112,243127436,857675293.0,0.0827,-1.4006
2020-02-03,2.3021823,2.3719454,2.28125337,2.35101647,477726576,1595441033.0,0.1625,-4.2614
2020-02-04,2.33706385,2.39287433,2.33706385,2.38589802,321948128,1090924298.0,0.1095,1.4837
2020-02-05,2.38589802,2.39985064,2.36496909,2.38589802,248194123,848611553.0,0.0844,0.0
2020-02-06,2.39287433,2.39985064,2.3719454,2.39287433,191076262,653402516.0,0.065,0.2924
2020-02-07,2.37892171,2.37892171,2.35799278,2.3719454,199168477,675907245.0,0.0677,-0.8746
2020-02-10,2.35799278,2.3719454,2.35101647,2.36496909,158609776,537274726.0,0.0539,-0.2941
2020-02-11,2.3719454,2.39287433,2.36496909,2.38589802,179148338,611598369.0,0.0609,0.885
2020-02-12,2.38589802,2.39287433,2.3719454,2.39287433,123211353,421327484.0,0.0419,0.2924
2020-02-13,2.39287433,2.39287433,2.3719454,2.37892171,123277241,421511186.0,0.0419,-0.5831
2020-02-14,2.3719454,2.39287433,2.3719454,2.39287433,112313558,384310498.0,0.0382,0.5865
2020-02-17,2.38589802,2.42775588,2.38589802,2.42077957,189505766,654233739.0,0.0644,1.1662
2020-02-18,2.41380326,2.42077957,2.39985064,2.40682695,159354952,550310896.0,0.0542,-0.5764
2020-02-19,2.40682695,2.43473219,2.39985064,2.42775588,158263116,549791442.0,0.0538,0.8696
2020-02-20,2.42775588,2.44868481,2.41380326,2.44868481,199422933,694356259.0,0.0678,0.8621
2020-02-21,2.43473219,2.44868481,2.42775588,2.43473219,143243525,500496622.0,0.0487,-0.5698
2020-02-24,2.42775588,2.4417085,2.41380326,2.41380326,186010540,646737000.0,0.0633,-0.8596
2020-02-25,2.39985064,2.39985064,2.38589802,2.39287433,210579001,722304368.0,0.0716,-0.8671
2020-02-26,2.37892171,2.41380326,2.3719454,2.40682695,218918963,751298878.0,0.0744,0.5831
2020-02-27,2.39985064,2.42077957,2.39985064,2.41380326,170022334,587500586.0,0.0578,0.2899
2020-02-28,2.39985064,2.42775588,2.37892171,2.37892171,253585883,873845647.0,0.0862,-1.4451
2020-03-02,2.38589802,2.42077957,2.38589802,2.41380326,181282521,625109750.0,0.0616,1.4663
2020-03-03,2.42077957,2.43473219,2.41380326,2.42775588,190756755,663521382.0,0.0649,0.578
2020-03-04,2.42775588,2.4417085,2.42077957,2.43473219,140680791,490358167.0,0.0478,0.2874
2020-03-05,2.43473219,2.46263743,2.43473219,2.45566112,229182326,805454594.0,0.0779,0.8596
2020-03-06,2.44868481,2.45566112,2.42775588,2.4417085,151993255,531961833.0,0.0517,-0.5682
2020-03-09,2.42077957,2.42077957,2.38589802,2.39287433,282171776,969290056.0,0.096,-2.0
2020-03-10,2.37892171,2.42077957,2.37892171,2.41380326,207809322,717049480.0,0.0707,0.8746
2020-03-11,2.42077957,2.42077957,2.39287433,2.39287433,158365714,546167911.0,0.0539,-0.8671
2020-03-12,2.38589802,2.39985064,2.3719454,2.39287433,185871971,635881206.0,0.0632,0.0
2020-03-13,2.35799278,2.39287433,2.33706385,2.3719454,290398336,982450803.0,0.0988,-0.8746
2020-03-16,2.37892171,2.39287433,2.35101647,2.35101647,259602687,882059711.0,0.0883,-0.8824
2020-03-17,2.35101647,2.38589802,2.34404016,2.3719454,279297232,947833294.0,0.095,0.8902
2020-03-18,2.3719454,2.37892171,2.33706385,2.34404016,214330968,724544442.0,0.0729,-1.1765
2020-03-19,2.33706385,2.35799278,2.3021823,2.30915861,253594646,844013965.0,0.0862,-1.4881
2020-03-20,2.32311123,2.35101647,2.30915861,2.33008754,245826690,819868368.0,0.0836,0.9063
2020-03-23,2.30915861,2.30915861,2.28822968,2.28822968,176363185,580377844.0,0.06,-1.7964
2020-03-24,2.30915861,2.33706385,2.3021823,2.33706385,213795149,710821941.0,0.0727,2.1341
2020-03-25,2.35799278,2.36496909,2.33706385,2.35101647,167423154,564134458.0,0.0569,0.597
2020-03-26,2.33706385,2.36496909,2.33008754,2.35101647,135757601,456921085.0,0.0462,0.0
2020-03-27,2.36496909,2.38589802,2.35101647,2.36496909,168381375,572400859.0,0.0573,0.5935
2020-03-30,2.35101647,2.37892171,2.34404016,2.37892171,218104609,741562654.0,0.0742,0.59
2020-03-31,2.38589802,2.39287433,2.33706385,2.35101647,165190034,560225312.0,0.0562,-1.173
2020-04-01,2.35101647,2.37892171,2.35101647,2.35799278,111666535,378709988.0,0.038,0.2967
2020-04-02,2.35101647,2.3719454,2.34404016,2.3719454,104786774,354395711.0,0.0356,0.5917
2020-04-03,2.36496909,2.37892171,2.35799278,2.3719454,115780429,393195603.0,0.0394,0.0
