date,open,high,low,close,volume,amount,turnover_pct,chg_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2020-03-06,10.2688654,10.9864974,10.1163686,10.8272728,7582411,362637476.52,3.7243,0.5624,10.676121559999999,8.79940175,9.980313494192902,8.658242262695243,1.3221,1.2409,0.1624,71.0,12.6518,8.7994,4.947,0.8756
2020-03-09,10.76448,11.77365,10.3630546,10.842971,10900770,541699423.3,5.3542,0.145,10.82816984,9.02568009,10.11303003354784,8.820074021014115,1.293,1.2513,0.0833,71.08,12.7992,9.0257,5.2521,0.8362
2020-03-10,10.7353262,11.66152,9.86744,11.594242,10712075,522134690.22,5.2615,6.9287,10.92863832,9.3023048,10.340908797617402,9.02556794538344,1.3153,1.2641,0.1025,74.81,12.976,9.3023,5.6286,0.7898
2020-03-11,11.6032124,12.1077974,10.8833378,11.011166,10297250,527292655.04,5.0577,-5.029,11.00847488,9.53407751,10.444025290291648,9.172649282762444,1.2714,1.2656,0.0116,67.53,13.0201,9.5341,6.0481,0.7313
2020-03-12,10.42809,10.943888,10.0042386,10.2464394,6498585,301811018.48,3.1919,-6.945,10.90441824,9.74129375,10.41362746101601,9.252189291446708,1.1614,1.2447,-0.1666,59.37,12.86,9.7413,6.6226,0.6403
2020-03-13,9.41892,10.65235,9.329216,10.5559182,7108076,323230410.56,3.4913,3.0204,10.850147320000001,9.96757209,10.435518343936623,9.348761803191397,1.0868,1.2131,-0.2528,61.4,12.5944,9.9676,7.3408,0.5271
2020-03-16,10.854184,10.8698822,9.889866,10.0827296,4899168,229464725.56,2.4063,-4.4827,10.698099039999999,10.14002803,10.381243152561758,9.403129788140182,0.9781,1.1661,-0.376,56.73,12.2756,10.14,8.0045,0.4212
2020-03-17,10.20383,10.42809,9.30679,10.147765,4555876,201435622.03,2.2377,0.645,10.40880364,10.28254526,10.345323436783026,9.45828795198165,0.887,1.1103,-0.4466,57.21,11.9747,10.2825,8.5904,0.3291
2020-03-18,10.259895,10.742054,9.64318,9.6611208,6325571,288148224.02,4.1547,-4.7956,10.1387946,10.36428803,10.24006149266256,9.473312607390417,0.7667,1.0416,-0.5497,52.49,11.7411,10.3643,8.9875,0.2657
2020-03-19,9.6723338,9.8539844,9.3269734,9.710458,6404673,274365505.55,3.1458,0.5107,10.03159832,10.40835512,10.158584032252936,9.490878932768904,0.6677,0.9668,-0.5982,52.92,11.6339,10.4084,9.1828,0.2355
